Symbol,Year,Opening Price,Closing Price,Return
ADANIPORTS,2020,368.0,483.75,0.32172131147540983
ADANIPORTS,2021,485.0,730.05,0.5091472868217053
COALINDIA,2020,211.35,135.45,-0.35911994322214336
COALINDIA,2021,135.4,133.05,-0.017718715393133855
DRREDDY,2020,2880.0,5205.1,0.8107529874241186
DRREDDY,2021,5217.25,5163.1,-0.008069009240936786
EICHERMOT,2020,22515.25,2530.9,-0.8875917433739354
EICHERMOT,2021,2531.0,2421.65,-0.0431664625232131
HEROMOTOCO,2020,2454.9,3110.0,0.27299891529031317
HEROMOTOCO,2021,3115.0,2819.15,-0.09352090032154337
IOC,2020,125.95,90.95,-0.27558741537236153
IOC,2021,91.3,90.85,-0.0010995052226498991
NTPC,2020,119.05,99.35,-0.16547669046619073
NTPC,2021,99.95,102.45,0.03120281831907401
POWERGRID,2020,190.55,189.85,-0.002102496714848967
POWERGRID,2021,189.0,220.05,0.15907295233078766
TATAMOTORS,2020,185.15,183.85,-0.007021334053470274
TATAMOTORS,2021,184.95,293.85,0.5983138428066359
VEDL,2020,152.8,161.4,0.05870777304034114
VEDL,2021,161.8,257.25,0.5938661710037174
